sample_id,source_form,synthetic_image,ground_truth_mask,anomaly_type,label,mask_pixels,raw_anomaly_score,anomaly_score_0_100
synthetic_form_00022,b01-136,data\synthetic_form_anomalies\images\synthetic_form_00022.png,data\synthetic_form_anomalies\masks\synthetic_form_00022_mask.png,dropout,1,18445,0.29740667,0.9585198
synthetic_form_00023,l07-085,data\synthetic_form_anomalies\images\synthetic_form_00023.png,data\synthetic_form_anomalies\masks\synthetic_form_00023_mask.png,dropout,1,10909,0.88667494,39.773197
synthetic_form_00024,j06-014,data\synthetic_form_anomalies\images\synthetic_form_00024.png,data\synthetic_form_anomalies\masks\synthetic_form_00024_mask.png,thickening,1,3002,0.8939922,40.255184
synthetic_form_00025,k02-029,data\synthetic_form_anomalies\images\synthetic_form_00025.png,data\synthetic_form_anomalies\masks\synthetic_form_00025_mask.png,thickening,1,7077,1.4916549,79.622795
synthetic_form_00026,g06-045m,data\synthetic_form_anomalies\images\synthetic_form_00026.png,data\synthetic_form_anomalies\masks\synthetic_form_00026_mask.png,blur,1,8368,0.7451958,30.45407
synthetic_form_00027,h07-030a,data\synthetic_form_anomalies\images\synthetic_form_00027.png,data\synthetic_form_anomalies\masks\synthetic_form_00027_mask.png,blur,1,7548,0.8194538,35.345387
synthetic_form_00028,m04-216,data\synthetic_form_anomalies\images\synthetic_form_00028.png,data\synthetic_form_anomalies\masks\synthetic_form_00028_mask.png,thinning,1,3451,1.0872489,52.984863
synthetic_form_00029,c02-078,data\synthetic_form_anomalies\images\synthetic_form_00029.png,data\synthetic_form_anomalies\masks\synthetic_form_00029_mask.png,thickening,1,11645,0.5261664,16.026758
synthetic_form_00030,f04-057,data\synthetic_form_anomalies\images\synthetic_form_00030.png,data\synthetic_form_anomalies\masks\synthetic_form_00030_mask.png,blur,1,1632,0.6356796,23.240314
synthetic_form_00031,f01-085,data\synthetic_form_anomalies\images\synthetic_form_00031.png,data\synthetic_form_anomalies\masks\synthetic_form_00031_mask.png,thickening,1,4522,0.8572249,37.833344
synthetic_form_00032,r02-137,data\synthetic_form_anomalies\images\synthetic_form_00032.png,data\synthetic_form_anomalies\masks\synthetic_form_00032_mask.png,thinning,1,8100,0.9359833,43.021107
synthetic_form_00033,n02-120,data\synthetic_form_anomalies\images\synthetic_form_00033.png,data\synthetic_form_anomalies\masks\synthetic_form_00033_mask.png,blur,1,6764,0.715827,28.519566
synthetic_form_00034,j06-000,data\synthetic_form_anomalies\images\synthetic_form_00034.png,data\synthetic_form_anomalies\masks\synthetic_form_00034_mask.png,thinning,1,5591,0.78885245,33.329704
synthetic_form_00035,g06-026h,data\synthetic_form_anomalies\images\synthetic_form_00035.png,data\synthetic_form_anomalies\masks\synthetic_form_00035_mask.png,dropout,1,5313,0.7374138,29.941475
synthetic_form_00036,j01-066,data\synthetic_form_anomalies\images\synthetic_form_00036.png,data\synthetic_form_anomalies\masks\synthetic_form_00036_mask.png,thinning,1,3140,0.9109412,41.371597
synthetic_form_00037,f07-036,data\synthetic_form_anomalies\images\synthetic_form_00037.png,data\synthetic_form_anomalies\masks\synthetic_form_00037_mask.png,thinning,1,17756,0.93548226,42.988102
synthetic_form_00038,a01-020,data\synthetic_form_anomalies\images\synthetic_form_00038.png,data\synthetic_form_anomalies\masks\synthetic_form_00038_mask.png,thinning,1,11067,0.65734583,24.667454
synthetic_form_00039,a01-132u,data\synthetic_form_anomalies\images\synthetic_form_00039.png,data\synthetic_form_anomalies\masks\synthetic_form_00039_mask.png,thinning,1,2900,1.0428213,50.05845
synthetic_form_00040,n04-009,data\synthetic_form_anomalies\images\synthetic_form_00040.png,data\synthetic_form_anomalies\masks\synthetic_form_00040_mask.png,thinning,1,5487,0.54356897,17.173054
synthetic_form_00041,d06-003,data\synthetic_form_anomalies\images\synthetic_form_00041.png,data\synthetic_form_anomalies\masks\synthetic_form_00041_mask.png,thinning,1,3031,0.4271205,9.502677
synthetic_form_00042,a06-152,data\synthetic_form_anomalies\images\synthetic_form_00042.png,data\synthetic_form_anomalies\masks\synthetic_form_00042_mask.png,dropout,1,4754,0.84283316,36.885376
synthetic_form_00043,g07-044,data\synthetic_form_anomalies\images\synthetic_form_00043.png,data\synthetic_form_anomalies\masks\synthetic_form_00043_mask.png,thickening,1,3271,0.8167796,35.169243
synthetic_form_00044,r02-078,data\synthetic_form_anomalies\images\synthetic_form_00044.png,data\synthetic_form_anomalies\masks\synthetic_form_00044_mask.png,thinning,1,3619,0.50814825,14.839916
synthetic_form_00045,c03-096c,data\synthetic_form_anomalies\images\synthetic_form_00045.png,data\synthetic_form_anomalies\masks\synthetic_form_00045_mask.png,dropout,1,2802,0.5380441,16.809134
synthetic_form_00046,c03-087a,data\synthetic_form_anomalies\images\synthetic_form_00046.png,data\synthetic_form_anomalies\masks\synthetic_form_00046_mask.png,thickening,1,10900,1.1460859,56.860413
synthetic_form_00047,k04-054,data\synthetic_form_anomalies\images\synthetic_form_00047.png,data\synthetic_form_anomalies\masks\synthetic_form_00047_mask.png,thickening,1,8344,0.79549617,33.767315
synthetic_form_00048,d04-101,data\synthetic_form_anomalies\images\synthetic_form_00048.png,data\synthetic_form_anomalies\masks\synthetic_form_00048_mask.png,dropout,1,13205,1.2135129,61.30178
synthetic_form_00049,c06-080,data\synthetic_form_anomalies\images\synthetic_form_00049.png,data\synthetic_form_anomalies\masks\synthetic_form_00049_mask.png,dropout,1,1546,0.88124704,39.41567
synthetic_form_00050,a01-003x,data\synthetic_form_anomalies\images\synthetic_form_00050.png,data\synthetic_form_anomalies\masks\synthetic_form_00050_mask.png,blur,1,7151,0.52683383,16.070723
synthetic_form_00051,g06-042f,data\synthetic_form_anomalies\images\synthetic_form_00051.png,data\synthetic_form_anomalies\masks\synthetic_form_00051_mask.png,thinning,1,5206,0.8607445,38.06518
synthetic_form_00052,e07-007,data\synthetic_form_anomalies\images\synthetic_form_00052.png,data\synthetic_form_anomalies\masks\synthetic_form_00052_mask.png,thickening,1,6604,0.6881515,26.696602
synthetic_form_00053,f02-040,data\synthetic_form_anomalies\images\synthetic_form_00053.png,data\synthetic_form_anomalies\masks\synthetic_form_00053_mask.png,dropout,1,11575,0.87956965,39.30518
synthetic_form_00054,h07-037a,data\synthetic_form_anomalies\images\synthetic_form_00054.png,data\synthetic_form_anomalies\masks\synthetic_form_00054_mask.png,thickening,1,5947,0.6559438,24.575104
synthetic_form_00055,a05-094(1),data\synthetic_form_anomalies\images\synthetic_form_00055.png,data\synthetic_form_anomalies\masks\synthetic_form_00055_mask.png,thickening,1,11056,1.0370901,49.680935
synthetic_form_00056,d04-086,data\synthetic_form_anomalies\images\synthetic_form_00056.png,data\synthetic_form_anomalies\masks\synthetic_form_00056_mask.png,thinning,1,5655,1.1216317,55.249638
synthetic_form_00057,m02-095,data\synthetic_form_anomalies\images\synthetic_form_00057.png,data\synthetic_form_anomalies\masks\synthetic_form_00057_mask.png,blur,1,17516,0.7732131,32.29955
synthetic_form_00058,e01-025,data\synthetic_form_anomalies\images\synthetic_form_00058.png,data\synthetic_form_anomalies\masks\synthetic_form_00058_mask.png,thinning,1,4931,0.9142649,41.590534
synthetic_form_00059,g06-026a,data\synthetic_form_anomalies\images\synthetic_form_00059.png,data\synthetic_form_anomalies\masks\synthetic_form_00059_mask.png,dropout,1,15402,0.5617379,18.369827
synthetic_form_00060,f03-182,data\synthetic_form_anomalies\images\synthetic_form_00060.png,data\synthetic_form_anomalies\masks\synthetic_form_00060_mask.png,thickening,1,6114,0.661085,24.91375
synthetic_form_00061,k02-053,data\synthetic_form_anomalies\images\synthetic_form_00061.png,data\synthetic_form_anomalies\masks\synthetic_form_00061_mask.png,thinning,1,15335,1.2315239,62.48815
synthetic_form_00062,a04-089,data\synthetic_form_anomalies\images\synthetic_form_00062.png,data\synthetic_form_anomalies\masks\synthetic_form_00062_mask.png,blur,1,3850,0.6058599,21.27611
synthetic_form_00063,c02-022,data\synthetic_form_anomalies\images\synthetic_form_00063.png,data\synthetic_form_anomalies\masks\synthetic_form_00063_mask.png,blur,1,11878,0.4936269,13.883405
synthetic_form_00064,m01-131,data\synthetic_form_anomalies\images\synthetic_form_00064.png,data\synthetic_form_anomalies\masks\synthetic_form_00064_mask.png,thickening,1,1432,0.46461296,11.972279
synthetic_form_00065,k04-093,data\synthetic_form_anomalies\images\synthetic_form_00065.png,data\synthetic_form_anomalies\masks\synthetic_form_00065_mask.png,thinning,1,14600,1.3143165,67.94164
synthetic_form_00066,b03-109,data\synthetic_form_anomalies\images\synthetic_form_00066.png,data\synthetic_form_anomalies\masks\synthetic_form_00066_mask.png,thinning,1,31177,0.4715215,12.427339
synthetic_form_00067,e04-079,data\synthetic_form_anomalies\images\synthetic_form_00067.png,data\synthetic_form_anomalies\masks\synthetic_form_00067_mask.png,thinning,1,4580,0.28285483,0.0
synthetic_form_00068,h07-057a,data\synthetic_form_anomalies\images\synthetic_form_00068.png,data\synthetic_form_anomalies\masks\synthetic_form_00068_mask.png,thickening,1,1367,0.49144268,13.739532
synthetic_form_00069,g06-042g,data\synthetic_form_anomalies\images\synthetic_form_00069.png,data\synthetic_form_anomalies\masks\synthetic_form_00069_mask.png,blur,1,696,0.6153799,21.90319
synthetic_form_00070,b04-195,data\synthetic_form_anomalies\images\synthetic_form_00070.png,data\synthetic_form_anomalies\masks\synthetic_form_00070_mask.png,dropout,1,3415,0.375727,6.117423
synthetic_form_00071,k04-061,data\synthetic_form_anomalies\images\synthetic_form_00071.png,data\synthetic_form_anomalies\masks\synthetic_form_00071_mask.png,thickening,1,9566,0.7974884,33.89854
synthetic_form_00072,a05-044,data\synthetic_form_anomalies\images\synthetic_form_00072.png,data\synthetic_form_anomalies\masks\synthetic_form_00072_mask.png,blur,1,9864,1.154668,57.42571
synthetic_form_00073,l04-034,data\synthetic_form_anomalies\images\synthetic_form_00073.png,data\synthetic_form_anomalies\masks\synthetic_form_00073_mask.png,thinning,1,2092,0.76454985,31.728905
synthetic_form_00074,f01-139,data\synthetic_form_anomalies\images\synthetic_form_00074.png,data\synthetic_form_anomalies\masks\synthetic_form_00074_mask.png,blur,1,6106,0.5672857,18.735258
synthetic_form_00075,c06-031,data\synthetic_form_anomalies\images\synthetic_form_00075.png,data\synthetic_form_anomalies\masks\synthetic_form_00075_mask.png,blur,1,2402,0.7608031,31.48211
synthetic_form_00076,k04-156,data\synthetic_form_anomalies\images\synthetic_form_00076.png,data\synthetic_form_anomalies\masks\synthetic_form_00076_mask.png,thinning,1,2124,0.66322356,25.054615
synthetic_form_00077,c02-089,data\synthetic_form_anomalies\images\synthetic_form_00077.png,data\synthetic_form_anomalies\masks\synthetic_form_00077_mask.png,thinning,1,9289,0.90217036,40.79387
synthetic_form_00078,g06-031r,data\synthetic_form_anomalies\images\synthetic_form_00078.png,data\synthetic_form_anomalies\masks\synthetic_form_00078_mask.png,blur,1,5007,0.8809019,39.39293
synthetic_form_00079,c02-035,data\synthetic_form_anomalies\images\synthetic_form_00079.png,data\synthetic_form_anomalies\masks\synthetic_form_00079_mask.png,dropout,1,8051,0.5255382,15.98538
synthetic_form_00080,d01-060,data\synthetic_form_anomalies\images\synthetic_form_00080.png,data\synthetic_form_anomalies\masks\synthetic_form_00080_mask.png,blur,1,32289,1.0992924,53.77816
synthetic_form_00081,f01-066,data\synthetic_form_anomalies\images\synthetic_form_00081.png,data\synthetic_form_anomalies\masks\synthetic_form_00081_mask.png,thinning,1,7350,0.6617616,24.958317
synthetic_form_00082,n02-120,data\synthetic_form_anomalies\images\synthetic_form_00082.png,data\synthetic_form_anomalies\masks\synthetic_form_00082_mask.png,blur,1,15299,0.7153523,28.488298
synthetic_form_00083,a04-096,data\synthetic_form_anomalies\images\synthetic_form_00083.png,data\synthetic_form_anomalies\masks\synthetic_form_00083_mask.png,dropout,1,4337,0.57215554,19.05603
synthetic_form_00084,n04-171,data\synthetic_form_anomalies\images\synthetic_form_00084.png,data\synthetic_form_anomalies\masks\synthetic_form_00084_mask.png,thickening,1,3754,0.748783,30.690353
synthetic_form_00085,c03-081c,data\synthetic_form_anomalies\images\synthetic_form_00085.png,data\synthetic_form_anomalies\masks\synthetic_form_00085_mask.png,dropout,1,2589,0.84785974,37.21647
synthetic_form_00086,f07-088b,data\synthetic_form_anomalies\images\synthetic_form_00086.png,data\synthetic_form_anomalies\masks\synthetic_form_00086_mask.png,dropout,1,7889,0.7296049,29.427109
synthetic_form_00087,m01-060,data\synthetic_form_anomalies\images\synthetic_form_00087.png,data\synthetic_form_anomalies\masks\synthetic_form_00087_mask.png,thinning,1,5009,0.5170256,15.42466
synthetic_form_00088,a02-102,data\synthetic_form_anomalies\images\synthetic_form_00088.png,data\synthetic_form_anomalies\masks\synthetic_form_00088_mask.png,thinning,1,2099,0.63061243,22.906546
synthetic_form_00089,g06-045f,data\synthetic_form_anomalies\images\synthetic_form_00089.png,data\synthetic_form_anomalies\masks\synthetic_form_00089_mask.png,blur,1,20319,0.8589382,37.946205
synthetic_form_00090,n03-064,data\synthetic_form_anomalies\images\synthetic_form_00090.png,data\synthetic_form_anomalies\masks\synthetic_form_00090_mask.png,blur,1,16857,0.7737327,32.333775
synthetic_form_00091,n03-106,data\synthetic_form_anomalies\images\synthetic_form_00091.png,data\synthetic_form_anomalies\masks\synthetic_form_00091_mask.png,blur,1,5898,0.8623935,38.173798
synthetic_form_00092,k04-093,data\synthetic_form_anomalies\images\synthetic_form_00092.png,data\synthetic_form_anomalies\masks\synthetic_form_00092_mask.png,dropout,1,11874,1.307018,67.4609
synthetic_form_00093,n04-139,data\synthetic_form_anomalies\images\synthetic_form_00093.png,data\synthetic_form_anomalies\masks\synthetic_form_00093_mask.png,blur,1,10969,0.69165987,26.927694
synthetic_form_00094,g06-031e,data\synthetic_form_anomalies\images\synthetic_form_00094.png,data\synthetic_form_anomalies\masks\synthetic_form_00094_mask.png,blur,1,6346,0.63170636,22.978601
synthetic_form_00095,e04-124,data\synthetic_form_anomalies\images\synthetic_form_00095.png,data\synthetic_form_anomalies\masks\synthetic_form_00095_mask.png,blur,1,16691,0.7496377,30.746655
synthetic_form_00096,g07-030,data\synthetic_form_anomalies\images\synthetic_form_00096.png,data\synthetic_form_anomalies\masks\synthetic_form_00096_mask.png,dropout,1,4272,0.83361506,36.278187
synthetic_form_00097,r03-056,data\synthetic_form_anomalies\images\synthetic_form_00097.png,data\synthetic_form_anomalies\masks\synthetic_form_00097_mask.png,blur,1,9812,0.56597716,18.649065
synthetic_form_00098,j01-045,data\synthetic_form_anomalies\images\synthetic_form_00098.png,data\synthetic_form_anomalies\masks\synthetic_form_00098_mask.png,blur,1,8566,0.9199897,41.967617
synthetic_form_00099,a06-114,data\synthetic_form_anomalies\images\synthetic_form_00099.png,data\synthetic_form_anomalies\masks\synthetic_form_00099_mask.png,blur,1,5965,0.6441051,23.795296
synthetic_form_00100,d01-118,data\synthetic_form_anomalies\images\synthetic_form_00100.png,data\synthetic_form_anomalies\masks\synthetic_form_00100_mask.png,thickening,1,3157,0.333133,3.3117883
synthetic_form_00101,h01-027,data\synthetic_form_anomalies\images\synthetic_form_00101.png,data\synthetic_form_anomalies\masks\synthetic_form_00101_mask.png,dropout,1,8126,0.86699617,38.476974
synthetic_form_00102,g06-037e,data\synthetic_form_anomalies\images\synthetic_form_00102.png,data\synthetic_form_anomalies\masks\synthetic_form_00102_mask.png,dropout,1,1016,0.75277877,30.953554
synthetic_form_00103,g06-026i,data\synthetic_form_anomalies\images\synthetic_form_00103.png,data\synthetic_form_anomalies\masks\synthetic_form_00103_mask.png,thickening,1,3286,1.0589038,51.11779
synthetic_form_00104,c06-138,data\synthetic_form_anomalies\images\synthetic_form_00104.png,data\synthetic_form_anomalies\masks\synthetic_form_00104_mask.png,dropout,1,12811,1.0671805,51.662975
synthetic_form_00105,a03-023,data\synthetic_form_anomalies\images\synthetic_form_00105.png,data\synthetic_form_anomalies\masks\synthetic_form_00105_mask.png,dropout,1,2913,0.71807396,28.667572
synthetic_form_00106,b05-042,data\synthetic_form_anomalies\images\synthetic_form_00106.png,data\synthetic_form_anomalies\masks\synthetic_form_00106_mask.png,blur,1,9491,0.8574323,37.847004
synthetic_form_00107,g06-047l,data\synthetic_form_anomalies\images\synthetic_form_00107.png,data\synthetic_form_anomalies\masks\synthetic_form_00107_mask.png,dropout,1,10715,0.7614438,31.524313
synthetic_form_00108,k04-022,data\synthetic_form_anomalies\images\synthetic_form_00108.png,data\synthetic_form_anomalies\masks\synthetic_form_00108_mask.png,dropout,1,4039,0.81684923,35.173832
synthetic_form_00109,d07-102,data\synthetic_form_anomalies\images\synthetic_form_00109.png,data\synthetic_form_anomalies\masks\synthetic_form_00109_mask.png,dropout,1,3637,0.75900793,31.363863
synthetic_form_00110,m04-007,data\synthetic_form_anomalies\images\synthetic_form_00110.png,data\synthetic_form_anomalies\masks\synthetic_form_00110_mask.png,thickening,1,14272,0.6612636,24.925514
synthetic_form_00111,e04-114,data\synthetic_form_anomalies\images\synthetic_form_00111.png,data\synthetic_form_anomalies\masks\synthetic_form_00111_mask.png,blur,1,13560,0.6400927,23.531
synthetic_form_00112,k02-097,data\synthetic_form_anomalies\images\synthetic_form_00112.png,data\synthetic_form_anomalies\masks\synthetic_form_00112_mask.png,thinning,1,4516,0.6427495,23.706003
synthetic_form_00113,p01-174,data\synthetic_form_anomalies\images\synthetic_form_00113.png,data\synthetic_form_anomalies\masks\synthetic_form_00113_mask.png,thickening,1,19139,0.8266528,35.81958
synthetic_form_00114,g06-031h,data\synthetic_form_anomalies\images\synthetic_form_00114.png,data\synthetic_form_anomalies\masks\synthetic_form_00114_mask.png,dropout,1,17826,0.59972584,20.872066
synthetic_form_00115,a04-031,data\synthetic_form_anomalies\images\synthetic_form_00115.png,data\synthetic_form_anomalies\masks\synthetic_form_00115_mask.png,dropout,1,34409,0.7094958,28.102535
synthetic_form_00116,l04-066,data\synthetic_form_anomalies\images\synthetic_form_00116.png,data\synthetic_form_anomalies\masks\synthetic_form_00116_mask.png,dropout,1,659,0.90201557,40.783676
synthetic_form_00117,h02-008,data\synthetic_form_anomalies\images\synthetic_form_00117.png,data\synthetic_form_anomalies\masks\synthetic_form_00117_mask.png,dropout,1,4291,0.4849505,13.311899
synthetic_form_00118,g06-037o,data\synthetic_form_anomalies\images\synthetic_form_00118.png,data\synthetic_form_anomalies\masks\synthetic_form_00118_mask.png,thinning,1,19478,0.99353087,46.81172
synthetic_form_00119,d01-016,data\synthetic_form_anomalies\images\synthetic_form_00119.png,data\synthetic_form_anomalies\masks\synthetic_form_00119_mask.png,thickening,1,7697,0.71413267,28.40796
synthetic_form_00120,f07-028a,data\synthetic_form_anomalies\images\synthetic_form_00120.png,data\synthetic_form_anomalies\masks\synthetic_form_00120_mask.png,dropout,1,3631,1.4473444,76.704094
synthetic_form_00121,b04-154,data\synthetic_form_anomalies\images\synthetic_form_00121.png,data\synthetic_form_anomalies\masks\synthetic_form_00121_mask.png,dropout,1,4611,0.88761806,39.835323
synthetic_form_00122,l04-159,data\synthetic_form_anomalies\images\synthetic_form_00122.png,data\synthetic_form_anomalies\masks\synthetic_form_00122_mask.png,thickening,1,3597,0.5818256,19.692991
synthetic_form_00123,g06-042r,data\synthetic_form_anomalies\images\synthetic_form_00123.png,data\synthetic_form_anomalies\masks\synthetic_form_00123_mask.png,thinning,1,20374,1.1520132,57.25084
synthetic_form_00124,e01-018,data\synthetic_form_anomalies\images\synthetic_form_00124.png,data\synthetic_form_anomalies\masks\synthetic_form_00124_mask.png,dropout,1,2991,0.7350611,29.786503
synthetic_form_00125,f04-079,data\synthetic_form_anomalies\images\synthetic_form_00125.png,data\synthetic_form_anomalies\masks\synthetic_form_00125_mask.png,blur,1,12228,0.87926126,39.284866
synthetic_form_00126,r06-137,data\synthetic_form_anomalies\images\synthetic_form_00126.png,data\synthetic_form_anomalies\masks\synthetic_form_00126_mask.png,dropout,1,2123,0.40404326,7.9825954
synthetic_form_00127,a01-063x,data\synthetic_form_anomalies\images\synthetic_form_00127.png,data\synthetic_form_anomalies\masks\synthetic_form_00127_mask.png,thinning,1,2797,0.93829656,43.17348
synthetic_form_00128,n02-000,data\synthetic_form_anomalies\images\synthetic_form_00128.png,data\synthetic_form_anomalies\masks\synthetic_form_00128_mask.png,thinning,1,4942,0.79809165,33.938282
synthetic_form_00129,a01-072u,data\synthetic_form_anomalies\images\synthetic_form_00129.png,data\synthetic_form_anomalies\masks\synthetic_form_00129_mask.png,thinning,1,3049,1.1459793,56.85339
synthetic_form_00130,n04-015,data\synthetic_form_anomalies\images\synthetic_form_00130.png,data\synthetic_form_anomalies\masks\synthetic_form_00130_mask.png,dropout,1,13011,0.59054536,20.267355
synthetic_form_00131,p02-105,data\synthetic_form_anomalies\images\synthetic_form_00131.png,data\synthetic_form_anomalies\masks\synthetic_form_00131_mask.png,thinning,1,17650,0.54321855,17.149971
synthetic_form_00132,c03-000c,data\synthetic_form_anomalies\images\synthetic_form_00132.png,data\synthetic_form_anomalies\masks\synthetic_form_00132_mask.png,thickening,1,5143,0.8365236,36.469765
synthetic_form_00133,l01-173,data\synthetic_form_anomalies\images\synthetic_form_00133.png,data\synthetic_form_anomalies\masks\synthetic_form_00133_mask.png,thinning,1,7698,0.6564904,24.611107
synthetic_form_00134,l04-159,data\synthetic_form_anomalies\images\synthetic_form_00134.png,data\synthetic_form_anomalies\masks\synthetic_form_00134_mask.png,thickening,1,5236,0.5951855,20.573
synthetic_form_00135,e07-094,data\synthetic_form_anomalies\images\synthetic_form_00135.png,data\synthetic_form_anomalies\masks\synthetic_form_00135_mask.png,thickening,1,1940,0.9262411,42.37939
synthetic_form_00136,a02-078,data\synthetic_form_anomalies\images\synthetic_form_00136.png,data\synthetic_form_anomalies\masks\synthetic_form_00136_mask.png,blur,1,17863,0.7028073,27.66197
synthetic_form_00137,a04-092,data\synthetic_form_anomalies\images\synthetic_form_00137.png,data\synthetic_form_anomalies\masks\synthetic_form_00137_mask.png,thickening,1,4779,0.5319523,16.407875
synthetic_form_00138,h05-012,data\synthetic_form_anomalies\images\synthetic_form_00138.png,data\synthetic_form_anomalies\masks\synthetic_form_00138_mask.png,dropout,1,14791,0.9427348,43.465816
synthetic_form_00139,p03-029,data\synthetic_form_anomalies\images\synthetic_form_00139.png,data\synthetic_form_anomalies\masks\synthetic_form_00139_mask.png,blur,1,8123,0.99741757,47.067738
synthetic_form_00140,m02-069,data\synthetic_form_anomalies\images\synthetic_form_00140.png,data\synthetic_form_anomalies\masks\synthetic_form_00140_mask.png,dropout,1,9304,0.7882715,33.29143
synthetic_form_00141,g06-045o,data\synthetic_form_anomalies\images\synthetic_form_00141.png,data\synthetic_form_anomalies\masks\synthetic_form_00141_mask.png,thinning,1,3793,0.93612057,43.030148
synthetic_form_00142,e04-038,data\synthetic_form_anomalies\images\synthetic_form_00142.png,data\synthetic_form_anomalies\masks\synthetic_form_00142_mask.png,dropout,1,3544,0.54368454,17.180666
synthetic_form_00143,f07-028a,data\synthetic_form_anomalies\images\synthetic_form_00143.png,data\synthetic_form_anomalies\masks\synthetic_form_00143_mask.png,thinning,1,11548,1.4312806,75.64598
synthetic_form_00144,c06-052,data\synthetic_form_anomalies\images\synthetic_form_00144.png,data\synthetic_form_anomalies\masks\synthetic_form_00144_mask.png,blur,1,9644,0.28367445,0.053988013
synthetic_form_00145,e04-043,data\synthetic_form_anomalies\images\synthetic_form_00145.png,data\synthetic_form_anomalies\masks\synthetic_form_00145_mask.png,thinning,1,4065,0.46175307,11.783899
synthetic_form_00146,d05-030,data\synthetic_form_anomalies\images\synthetic_form_00146.png,data\synthetic_form_anomalies\masks\synthetic_form_00146_mask.png,thinning,1,9394,0.5068479,14.754264
