sample_id,source_form,synthetic_image,ground_truth_mask,anomaly_type,label,mask_pixels
synthetic_form_00039,a01-132u,data\synthetic_form_anomalies\images\synthetic_form_00039.png,data\synthetic_form_anomalies\masks\synthetic_form_00039_mask.png,thinning,1,2900
synthetic_form_00040,n04-009,data\synthetic_form_anomalies\images\synthetic_form_00040.png,data\synthetic_form_anomalies\masks\synthetic_form_00040_mask.png,thinning,1,5487
synthetic_form_00041,d06-003,data\synthetic_form_anomalies\images\synthetic_form_00041.png,data\synthetic_form_anomalies\masks\synthetic_form_00041_mask.png,thinning,1,3031
synthetic_form_00042,a06-152,data\synthetic_form_anomalies\images\synthetic_form_00042.png,data\synthetic_form_anomalies\masks\synthetic_form_00042_mask.png,dropout,1,4754
synthetic_form_00043,g07-044,data\synthetic_form_anomalies\images\synthetic_form_00043.png,data\synthetic_form_anomalies\masks\synthetic_form_00043_mask.png,thickening,1,3271
synthetic_form_00044,r02-078,data\synthetic_form_anomalies\images\synthetic_form_00044.png,data\synthetic_form_anomalies\masks\synthetic_form_00044_mask.png,thinning,1,3619
synthetic_form_00045,c03-096c,data\synthetic_form_anomalies\images\synthetic_form_00045.png,data\synthetic_form_anomalies\masks\synthetic_form_00045_mask.png,dropout,1,2802
synthetic_form_00046,c03-087a,data\synthetic_form_anomalies\images\synthetic_form_00046.png,data\synthetic_form_anomalies\masks\synthetic_form_00046_mask.png,thickening,1,10900
synthetic_form_00047,k04-054,data\synthetic_form_anomalies\images\synthetic_form_00047.png,data\synthetic_form_anomalies\masks\synthetic_form_00047_mask.png,thickening,1,8344
synthetic_form_00048,d04-101,data\synthetic_form_anomalies\images\synthetic_form_00048.png,data\synthetic_form_anomalies\masks\synthetic_form_00048_mask.png,dropout,1,13205
synthetic_form_00049,c06-080,data\synthetic_form_anomalies\images\synthetic_form_00049.png,data\synthetic_form_anomalies\masks\synthetic_form_00049_mask.png,dropout,1,1546
synthetic_form_00050,a01-003x,data\synthetic_form_anomalies\images\synthetic_form_00050.png,data\synthetic_form_anomalies\masks\synthetic_form_00050_mask.png,blur,1,7151
synthetic_form_00051,g06-042f,data\synthetic_form_anomalies\images\synthetic_form_00051.png,data\synthetic_form_anomalies\masks\synthetic_form_00051_mask.png,thinning,1,5206
synthetic_form_00052,e07-007,data\synthetic_form_anomalies\images\synthetic_form_00052.png,data\synthetic_form_anomalies\masks\synthetic_form_00052_mask.png,thickening,1,6604
synthetic_form_00053,f02-040,data\synthetic_form_anomalies\images\synthetic_form_00053.png,data\synthetic_form_anomalies\masks\synthetic_form_00053_mask.png,dropout,1,11575
synthetic_form_00054,h07-037a,data\synthetic_form_anomalies\images\synthetic_form_00054.png,data\synthetic_form_anomalies\masks\synthetic_form_00054_mask.png,thickening,1,5947
synthetic_form_00055,a05-094(1),data\synthetic_form_anomalies\images\synthetic_form_00055.png,data\synthetic_form_anomalies\masks\synthetic_form_00055_mask.png,thickening,1,11056
synthetic_form_00056,d04-086,data\synthetic_form_anomalies\images\synthetic_form_00056.png,data\synthetic_form_anomalies\masks\synthetic_form_00056_mask.png,thinning,1,5655
synthetic_form_00057,m02-095,data\synthetic_form_anomalies\images\synthetic_form_00057.png,data\synthetic_form_anomalies\masks\synthetic_form_00057_mask.png,blur,1,17516
synthetic_form_00058,e01-025,data\synthetic_form_anomalies\images\synthetic_form_00058.png,data\synthetic_form_anomalies\masks\synthetic_form_00058_mask.png,thinning,1,4931
synthetic_form_00059,g06-026a,data\synthetic_form_anomalies\images\synthetic_form_00059.png,data\synthetic_form_anomalies\masks\synthetic_form_00059_mask.png,dropout,1,15402
synthetic_form_00060,f03-182,data\synthetic_form_anomalies\images\synthetic_form_00060.png,data\synthetic_form_anomalies\masks\synthetic_form_00060_mask.png,thickening,1,6114
synthetic_form_00061,k02-053,data\synthetic_form_anomalies\images\synthetic_form_00061.png,data\synthetic_form_anomalies\masks\synthetic_form_00061_mask.png,thinning,1,15335
synthetic_form_00062,a04-089,data\synthetic_form_anomalies\images\synthetic_form_00062.png,data\synthetic_form_anomalies\masks\synthetic_form_00062_mask.png,blur,1,3850
synthetic_form_00063,c02-022,data\synthetic_form_anomalies\images\synthetic_form_00063.png,data\synthetic_form_anomalies\masks\synthetic_form_00063_mask.png,blur,1,11878
synthetic_form_00064,m01-131,data\synthetic_form_anomalies\images\synthetic_form_00064.png,data\synthetic_form_anomalies\masks\synthetic_form_00064_mask.png,thickening,1,1432
synthetic_form_00065,k04-093,data\synthetic_form_anomalies\images\synthetic_form_00065.png,data\synthetic_form_anomalies\masks\synthetic_form_00065_mask.png,thinning,1,14600
synthetic_form_00066,b03-109,data\synthetic_form_anomalies\images\synthetic_form_00066.png,data\synthetic_form_anomalies\masks\synthetic_form_00066_mask.png,thinning,1,31177
synthetic_form_00067,e04-079,data\synthetic_form_anomalies\images\synthetic_form_00067.png,data\synthetic_form_anomalies\masks\synthetic_form_00067_mask.png,thinning,1,4580
synthetic_form_00068,h07-057a,data\synthetic_form_anomalies\images\synthetic_form_00068.png,data\synthetic_form_anomalies\masks\synthetic_form_00068_mask.png,thickening,1,1367
synthetic_form_00069,g06-042g,data\synthetic_form_anomalies\images\synthetic_form_00069.png,data\synthetic_form_anomalies\masks\synthetic_form_00069_mask.png,blur,1,696
synthetic_form_00070,b04-195,data\synthetic_form_anomalies\images\synthetic_form_00070.png,data\synthetic_form_anomalies\masks\synthetic_form_00070_mask.png,dropout,1,3415
synthetic_form_00071,k04-061,data\synthetic_form_anomalies\images\synthetic_form_00071.png,data\synthetic_form_anomalies\masks\synthetic_form_00071_mask.png,thickening,1,9566
synthetic_form_00072,a05-044,data\synthetic_form_anomalies\images\synthetic_form_00072.png,data\synthetic_form_anomalies\masks\synthetic_form_00072_mask.png,blur,1,9864
synthetic_form_00073,l04-034,data\synthetic_form_anomalies\images\synthetic_form_00073.png,data\synthetic_form_anomalies\masks\synthetic_form_00073_mask.png,thinning,1,2092
synthetic_form_00074,f01-139,data\synthetic_form_anomalies\images\synthetic_form_00074.png,data\synthetic_form_anomalies\masks\synthetic_form_00074_mask.png,blur,1,6106
synthetic_form_00075,c06-031,data\synthetic_form_anomalies\images\synthetic_form_00075.png,data\synthetic_form_anomalies\masks\synthetic_form_00075_mask.png,blur,1,2402
synthetic_form_00076,k04-156,data\synthetic_form_anomalies\images\synthetic_form_00076.png,data\synthetic_form_anomalies\masks\synthetic_form_00076_mask.png,thinning,1,2124
synthetic_form_00077,c02-089,data\synthetic_form_anomalies\images\synthetic_form_00077.png,data\synthetic_form_anomalies\masks\synthetic_form_00077_mask.png,thinning,1,9289
synthetic_form_00078,g06-031r,data\synthetic_form_anomalies\images\synthetic_form_00078.png,data\synthetic_form_anomalies\masks\synthetic_form_00078_mask.png,blur,1,5007
synthetic_form_00079,c02-035,data\synthetic_form_anomalies\images\synthetic_form_00079.png,data\synthetic_form_anomalies\masks\synthetic_form_00079_mask.png,dropout,1,8051
synthetic_form_00080,d01-060,data\synthetic_form_anomalies\images\synthetic_form_00080.png,data\synthetic_form_anomalies\masks\synthetic_form_00080_mask.png,blur,1,32289
synthetic_form_00081,f01-066,data\synthetic_form_anomalies\images\synthetic_form_00081.png,data\synthetic_form_anomalies\masks\synthetic_form_00081_mask.png,thinning,1,7350
synthetic_form_00082,n02-120,data\synthetic_form_anomalies\images\synthetic_form_00082.png,data\synthetic_form_anomalies\masks\synthetic_form_00082_mask.png,blur,1,15299
synthetic_form_00083,a04-096,data\synthetic_form_anomalies\images\synthetic_form_00083.png,data\synthetic_form_anomalies\masks\synthetic_form_00083_mask.png,dropout,1,4337
synthetic_form_00084,n04-171,data\synthetic_form_anomalies\images\synthetic_form_00084.png,data\synthetic_form_anomalies\masks\synthetic_form_00084_mask.png,thickening,1,3754
synthetic_form_00085,c03-081c,data\synthetic_form_anomalies\images\synthetic_form_00085.png,data\synthetic_form_anomalies\masks\synthetic_form_00085_mask.png,dropout,1,2589
synthetic_form_00086,f07-088b,data\synthetic_form_anomalies\images\synthetic_form_00086.png,data\synthetic_form_anomalies\masks\synthetic_form_00086_mask.png,dropout,1,7889
synthetic_form_00087,m01-060,data\synthetic_form_anomalies\images\synthetic_form_00087.png,data\synthetic_form_anomalies\masks\synthetic_form_00087_mask.png,thinning,1,5009
synthetic_form_00088,a02-102,data\synthetic_form_anomalies\images\synthetic_form_00088.png,data\synthetic_form_anomalies\masks\synthetic_form_00088_mask.png,thinning,1,2099
synthetic_form_00089,g06-045f,data\synthetic_form_anomalies\images\synthetic_form_00089.png,data\synthetic_form_anomalies\masks\synthetic_form_00089_mask.png,blur,1,20319
synthetic_form_00090,n03-064,data\synthetic_form_anomalies\images\synthetic_form_00090.png,data\synthetic_form_anomalies\masks\synthetic_form_00090_mask.png,blur,1,16857
synthetic_form_00091,n03-106,data\synthetic_form_anomalies\images\synthetic_form_00091.png,data\synthetic_form_anomalies\masks\synthetic_form_00091_mask.png,blur,1,5898
synthetic_form_00092,k04-093,data\synthetic_form_anomalies\images\synthetic_form_00092.png,data\synthetic_form_anomalies\masks\synthetic_form_00092_mask.png,dropout,1,11874
synthetic_form_00093,n04-139,data\synthetic_form_anomalies\images\synthetic_form_00093.png,data\synthetic_form_anomalies\masks\synthetic_form_00093_mask.png,blur,1,10969
synthetic_form_00094,g06-031e,data\synthetic_form_anomalies\images\synthetic_form_00094.png,data\synthetic_form_anomalies\masks\synthetic_form_00094_mask.png,blur,1,6346
synthetic_form_00095,e04-124,data\synthetic_form_anomalies\images\synthetic_form_00095.png,data\synthetic_form_anomalies\masks\synthetic_form_00095_mask.png,blur,1,16691
synthetic_form_00096,g07-030,data\synthetic_form_anomalies\images\synthetic_form_00096.png,data\synthetic_form_anomalies\masks\synthetic_form_00096_mask.png,dropout,1,4272
synthetic_form_00097,r03-056,data\synthetic_form_anomalies\images\synthetic_form_00097.png,data\synthetic_form_anomalies\masks\synthetic_form_00097_mask.png,blur,1,9812
synthetic_form_00098,j01-045,data\synthetic_form_anomalies\images\synthetic_form_00098.png,data\synthetic_form_anomalies\masks\synthetic_form_00098_mask.png,blur,1,8566
synthetic_form_00099,a06-114,data\synthetic_form_anomalies\images\synthetic_form_00099.png,data\synthetic_form_anomalies\masks\synthetic_form_00099_mask.png,blur,1,5965
synthetic_form_00100,d01-118,data\synthetic_form_anomalies\images\synthetic_form_00100.png,data\synthetic_form_anomalies\masks\synthetic_form_00100_mask.png,thickening,1,3157
synthetic_form_00101,h01-027,data\synthetic_form_anomalies\images\synthetic_form_00101.png,data\synthetic_form_anomalies\masks\synthetic_form_00101_mask.png,dropout,1,8126
synthetic_form_00102,g06-037e,data\synthetic_form_anomalies\images\synthetic_form_00102.png,data\synthetic_form_anomalies\masks\synthetic_form_00102_mask.png,dropout,1,1016
synthetic_form_00103,g06-026i,data\synthetic_form_anomalies\images\synthetic_form_00103.png,data\synthetic_form_anomalies\masks\synthetic_form_00103_mask.png,thickening,1,3286
synthetic_form_00104,c06-138,data\synthetic_form_anomalies\images\synthetic_form_00104.png,data\synthetic_form_anomalies\masks\synthetic_form_00104_mask.png,dropout,1,12811
synthetic_form_00105,a03-023,data\synthetic_form_anomalies\images\synthetic_form_00105.png,data\synthetic_form_anomalies\masks\synthetic_form_00105_mask.png,dropout,1,2913
synthetic_form_00106,b05-042,data\synthetic_form_anomalies\images\synthetic_form_00106.png,data\synthetic_form_anomalies\masks\synthetic_form_00106_mask.png,blur,1,9491
synthetic_form_00107,g06-047l,data\synthetic_form_anomalies\images\synthetic_form_00107.png,data\synthetic_form_anomalies\masks\synthetic_form_00107_mask.png,dropout,1,10715
synthetic_form_00108,k04-022,data\synthetic_form_anomalies\images\synthetic_form_00108.png,data\synthetic_form_anomalies\masks\synthetic_form_00108_mask.png,dropout,1,4039
synthetic_form_00109,d07-102,data\synthetic_form_anomalies\images\synthetic_form_00109.png,data\synthetic_form_anomalies\masks\synthetic_form_00109_mask.png,dropout,1,3637
synthetic_form_00110,m04-007,data\synthetic_form_anomalies\images\synthetic_form_00110.png,data\synthetic_form_anomalies\masks\synthetic_form_00110_mask.png,thickening,1,14272
synthetic_form_00111,e04-114,data\synthetic_form_anomalies\images\synthetic_form_00111.png,data\synthetic_form_anomalies\masks\synthetic_form_00111_mask.png,blur,1,13560
synthetic_form_00112,k02-097,data\synthetic_form_anomalies\images\synthetic_form_00112.png,data\synthetic_form_anomalies\masks\synthetic_form_00112_mask.png,thinning,1,4516
synthetic_form_00113,p01-174,data\synthetic_form_anomalies\images\synthetic_form_00113.png,data\synthetic_form_anomalies\masks\synthetic_form_00113_mask.png,thickening,1,19139
synthetic_form_00114,g06-031h,data\synthetic_form_anomalies\images\synthetic_form_00114.png,data\synthetic_form_anomalies\masks\synthetic_form_00114_mask.png,dropout,1,17826
synthetic_form_00115,a04-031,data\synthetic_form_anomalies\images\synthetic_form_00115.png,data\synthetic_form_anomalies\masks\synthetic_form_00115_mask.png,dropout,1,34409
synthetic_form_00116,l04-066,data\synthetic_form_anomalies\images\synthetic_form_00116.png,data\synthetic_form_anomalies\masks\synthetic_form_00116_mask.png,dropout,1,659
synthetic_form_00117,h02-008,data\synthetic_form_anomalies\images\synthetic_form_00117.png,data\synthetic_form_anomalies\masks\synthetic_form_00117_mask.png,dropout,1,4291
synthetic_form_00118,g06-037o,data\synthetic_form_anomalies\images\synthetic_form_00118.png,data\synthetic_form_anomalies\masks\synthetic_form_00118_mask.png,thinning,1,19478
synthetic_form_00119,d01-016,data\synthetic_form_anomalies\images\synthetic_form_00119.png,data\synthetic_form_anomalies\masks\synthetic_form_00119_mask.png,thickening,1,7697
synthetic_form_00120,f07-028a,data\synthetic_form_anomalies\images\synthetic_form_00120.png,data\synthetic_form_anomalies\masks\synthetic_form_00120_mask.png,dropout,1,3631
synthetic_form_00121,b04-154,data\synthetic_form_anomalies\images\synthetic_form_00121.png,data\synthetic_form_anomalies\masks\synthetic_form_00121_mask.png,dropout,1,4611
synthetic_form_00122,l04-159,data\synthetic_form_anomalies\images\synthetic_form_00122.png,data\synthetic_form_anomalies\masks\synthetic_form_00122_mask.png,thickening,1,3597
synthetic_form_00123,g06-042r,data\synthetic_form_anomalies\images\synthetic_form_00123.png,data\synthetic_form_anomalies\masks\synthetic_form_00123_mask.png,thinning,1,20374
synthetic_form_00124,e01-018,data\synthetic_form_anomalies\images\synthetic_form_00124.png,data\synthetic_form_anomalies\masks\synthetic_form_00124_mask.png,dropout,1,2991
synthetic_form_00125,f04-079,data\synthetic_form_anomalies\images\synthetic_form_00125.png,data\synthetic_form_anomalies\masks\synthetic_form_00125_mask.png,blur,1,12228
synthetic_form_00126,r06-137,data\synthetic_form_anomalies\images\synthetic_form_00126.png,data\synthetic_form_anomalies\masks\synthetic_form_00126_mask.png,dropout,1,2123
synthetic_form_00127,a01-063x,data\synthetic_form_anomalies\images\synthetic_form_00127.png,data\synthetic_form_anomalies\masks\synthetic_form_00127_mask.png,thinning,1,2797
synthetic_form_00128,n02-000,data\synthetic_form_anomalies\images\synthetic_form_00128.png,data\synthetic_form_anomalies\masks\synthetic_form_00128_mask.png,thinning,1,4942
synthetic_form_00129,a01-072u,data\synthetic_form_anomalies\images\synthetic_form_00129.png,data\synthetic_form_anomalies\masks\synthetic_form_00129_mask.png,thinning,1,3049
synthetic_form_00130,n04-015,data\synthetic_form_anomalies\images\synthetic_form_00130.png,data\synthetic_form_anomalies\masks\synthetic_form_00130_mask.png,dropout,1,13011
synthetic_form_00131,p02-105,data\synthetic_form_anomalies\images\synthetic_form_00131.png,data\synthetic_form_anomalies\masks\synthetic_form_00131_mask.png,thinning,1,17650
synthetic_form_00132,c03-000c,data\synthetic_form_anomalies\images\synthetic_form_00132.png,data\synthetic_form_anomalies\masks\synthetic_form_00132_mask.png,thickening,1,5143
synthetic_form_00133,l01-173,data\synthetic_form_anomalies\images\synthetic_form_00133.png,data\synthetic_form_anomalies\masks\synthetic_form_00133_mask.png,thinning,1,7698
synthetic_form_00134,l04-159,data\synthetic_form_anomalies\images\synthetic_form_00134.png,data\synthetic_form_anomalies\masks\synthetic_form_00134_mask.png,thickening,1,5236
synthetic_form_00135,e07-094,data\synthetic_form_anomalies\images\synthetic_form_00135.png,data\synthetic_form_anomalies\masks\synthetic_form_00135_mask.png,thickening,1,1940
synthetic_form_00136,a02-078,data\synthetic_form_anomalies\images\synthetic_form_00136.png,data\synthetic_form_anomalies\masks\synthetic_form_00136_mask.png,blur,1,17863
synthetic_form_00137,a04-092,data\synthetic_form_anomalies\images\synthetic_form_00137.png,data\synthetic_form_anomalies\masks\synthetic_form_00137_mask.png,thickening,1,4779
synthetic_form_00138,h05-012,data\synthetic_form_anomalies\images\synthetic_form_00138.png,data\synthetic_form_anomalies\masks\synthetic_form_00138_mask.png,dropout,1,14791
synthetic_form_00139,p03-029,data\synthetic_form_anomalies\images\synthetic_form_00139.png,data\synthetic_form_anomalies\masks\synthetic_form_00139_mask.png,blur,1,8123
synthetic_form_00140,m02-069,data\synthetic_form_anomalies\images\synthetic_form_00140.png,data\synthetic_form_anomalies\masks\synthetic_form_00140_mask.png,dropout,1,9304
synthetic_form_00141,g06-045o,data\synthetic_form_anomalies\images\synthetic_form_00141.png,data\synthetic_form_anomalies\masks\synthetic_form_00141_mask.png,thinning,1,3793
synthetic_form_00142,e04-038,data\synthetic_form_anomalies\images\synthetic_form_00142.png,data\synthetic_form_anomalies\masks\synthetic_form_00142_mask.png,dropout,1,3544
synthetic_form_00143,f07-028a,data\synthetic_form_anomalies\images\synthetic_form_00143.png,data\synthetic_form_anomalies\masks\synthetic_form_00143_mask.png,thinning,1,11548
synthetic_form_00144,c06-052,data\synthetic_form_anomalies\images\synthetic_form_00144.png,data\synthetic_form_anomalies\masks\synthetic_form_00144_mask.png,blur,1,9644
synthetic_form_00145,e04-043,data\synthetic_form_anomalies\images\synthetic_form_00145.png,data\synthetic_form_anomalies\masks\synthetic_form_00145_mask.png,thinning,1,4065
synthetic_form_00146,d05-030,data\synthetic_form_anomalies\images\synthetic_form_00146.png,data\synthetic_form_anomalies\masks\synthetic_form_00146_mask.png,thinning,1,9394
synthetic_form_00147,m06-091,data\synthetic_form_anomalies\images\synthetic_form_00147.png,data\synthetic_form_anomalies\masks\synthetic_form_00147_mask.png,thickening,1,4609
synthetic_form_00148,e06-049,data\synthetic_form_anomalies\images\synthetic_form_00148.png,data\synthetic_form_anomalies\masks\synthetic_form_00148_mask.png,blur,1,4136
synthetic_form_00149,n03-066,data\synthetic_form_anomalies\images\synthetic_form_00149.png,data\synthetic_form_anomalies\masks\synthetic_form_00149_mask.png,blur,1,4073
synthetic_form_00150,g06-042k,data\synthetic_form_anomalies\images\synthetic_form_00150.png,data\synthetic_form_anomalies\masks\synthetic_form_00150_mask.png,blur,1,5770
synthetic_form_00151,p02-139,data\synthetic_form_anomalies\images\synthetic_form_00151.png,data\synthetic_form_anomalies\masks\synthetic_form_00151_mask.png,blur,1,2715
synthetic_form_00152,d04-047,data\synthetic_form_anomalies\images\synthetic_form_00152.png,data\synthetic_form_anomalies\masks\synthetic_form_00152_mask.png,blur,1,16846
synthetic_form_00153,b04-040,data\synthetic_form_anomalies\images\synthetic_form_00153.png,data\synthetic_form_anomalies\masks\synthetic_form_00153_mask.png,thinning,1,4613
synthetic_form_00154,r03-110,data\synthetic_form_anomalies\images\synthetic_form_00154.png,data\synthetic_form_anomalies\masks\synthetic_form_00154_mask.png,blur,1,7899
synthetic_form_00155,b01-023,data\synthetic_form_anomalies\images\synthetic_form_00155.png,data\synthetic_form_anomalies\masks\synthetic_form_00155_mask.png,blur,1,10517
synthetic_form_00156,c03-081e,data\synthetic_form_anomalies\images\synthetic_form_00156.png,data\synthetic_form_anomalies\masks\synthetic_form_00156_mask.png,thinning,1,5511
synthetic_form_00157,a02-116,data\synthetic_form_anomalies\images\synthetic_form_00157.png,data\synthetic_form_anomalies\masks\synthetic_form_00157_mask.png,thinning,1,14649
synthetic_form_00158,b01-049,data\synthetic_form_anomalies\images\synthetic_form_00158.png,data\synthetic_form_anomalies\masks\synthetic_form_00158_mask.png,dropout,1,10850
synthetic_form_00159,h02-022,data\synthetic_form_anomalies\images\synthetic_form_00159.png,data\synthetic_form_anomalies\masks\synthetic_form_00159_mask.png,thickening,1,2780
synthetic_form_00160,h02-017,data\synthetic_form_anomalies\images\synthetic_form_00160.png,data\synthetic_form_anomalies\masks\synthetic_form_00160_mask.png,dropout,1,14928
synthetic_form_00161,h06-082,data\synthetic_form_anomalies\images\synthetic_form_00161.png,data\synthetic_form_anomalies\masks\synthetic_form_00161_mask.png,thinning,1,11800
synthetic_form_00162,k07-085,data\synthetic_form_anomalies\images\synthetic_form_00162.png,data\synthetic_form_anomalies\masks\synthetic_form_00162_mask.png,thickening,1,1782
synthetic_form_00163,g06-037i,data\synthetic_form_anomalies\images\synthetic_form_00163.png,data\synthetic_form_anomalies\masks\synthetic_form_00163_mask.png,thinning,1,6231
synthetic_form_00164,g06-050k,data\synthetic_form_anomalies\images\synthetic_form_00164.png,data\synthetic_form_anomalies\masks\synthetic_form_00164_mask.png,dropout,1,8400
synthetic_form_00165,f01-066,data\synthetic_form_anomalies\images\synthetic_form_00165.png,data\synthetic_form_anomalies\masks\synthetic_form_00165_mask.png,thickening,1,5732
